date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:49:26	165742/165742	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%222876e-16e0fa14351%22	http://ghost.estudiopatagon.com/rein/assets/fonts/fontawesome-webfont.eot?	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/assets/fonts/fontawesome-webfontd41d.eot	(from http://ghost.estudiopatagon.com/rein/assets/dist/plugins.min.css?v=e1d678e3e0)
15:49:29	1027/1027	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22403-16e0fa1434e%22	http://ghost.estudiopatagon.com/rein/assets/images/right-arrow.svg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/assets/images/right-arrow.svg	(from http://ghost.estudiopatagon.com/rein/assets/dist/plugins.min.css?v=e1d678e3e0)
15:49:30	444379/444379	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226c7db-16e0fa14351%22	http://ghost.estudiopatagon.com/rein/assets/fonts/fontawesome-webfont.svg?v=4.7.0	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/assets/fonts/fontawesome-webfont3e6e.svg	(from http://ghost.estudiopatagon.com/rein/assets/dist/plugins.min.css?v=e1d678e3e0)
15:49:30	98024/98024	---M--	200	added ('OK')	font/woff	etag:W/%2217ee8-16e0fa14351%22	http://ghost.estudiopatagon.com/rein/assets/fonts/fontawesome-webfont.woff?v=4.7.0	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/assets/fonts/fontawesome-webfont3e6e.woff	(from http://ghost.estudiopatagon.com/rein/assets/dist/plugins.min.css?v=e1d678e3e0)
15:49:30	1036/1036	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2240c-16e0fa1434e%22	http://ghost.estudiopatagon.com/rein/assets/images/left-arrow.svg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/assets/images/left-arrow.svg	(from http://ghost.estudiopatagon.com/rein/assets/dist/plugins.min.css?v=e1d678e3e0)
15:49:33	36160/36160	---MCZ	200	added ('OK')	text/html	etag:W/%228d40-+zqdczpOUDeKTCxrnYwFcPznZrE%22	http://ghost.estudiopatagon.com/rein/themes/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/themes/index.html	(from http://ghost.estudiopatagon.com/rein/page/2/)
15:49:35	165548/165548	---MCZ	200	added ('OK')	font/ttf	etag:W/%22286ac-16e0fa14351%22	http://ghost.estudiopatagon.com/rein/assets/fonts/fontawesome-webfont.ttf?v=4.7.0	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/assets/fonts/fontawesome-webfont3e6e.ttf	(from http://ghost.estudiopatagon.com/rein/assets/dist/plugins.min.css?v=e1d678e3e0)
15:49:35	36578/36578	---MCZ	200	added ('OK')	text/html	etag:W/%228ee2-Gd+nAY2tEKdAfJjevZtBHTH/cLo%22	http://ghost.estudiopatagon.com/rein/syntax-highlight-code-example/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/syntax-highlight-code-example/index.html	(from http://ghost.estudiopatagon.com/rein/page/2/)
15:49:36	18808/18808	---MCZ	200	added ('OK')	text/html	etag:W/%224978-vzclMuf1T9qBz2hxG5C91P4LKUU%22	http://ghost.estudiopatagon.com/rein/classic/amp/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/classic/amp/index.html	(from http://ghost.estudiopatagon.com/rein/classic/)
15:49:37	45894/45894	---M--	200	added ('OK')	image/jpeg	etag:W/%22b346-16bfd6a86ff%22	http://ghost.estudiopatagon.com/rein/content/images/size/w700h500/2019/07/dollar-gill-VW1xJfuOj2g-unsplash.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/size/w700h500/2019/07/dollar-gill-VW1xJfuOj2g-unsplash.jpg	(from http://ghost.estudiopatagon.com/rein/page/2/)
15:49:41	18894/18894	---M--	200	added ('OK')	image/jpeg	etag:W/%2249ce-16c0bd1c96b%22	http://ghost.estudiopatagon.com/rein/content/images/size/w600h450/2019/07/photo-1531756346973-7b893b8dbbdd.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/size/w600h450/2019/07/photo-1531756346973-7b893b8dbbdd.jpg	(from http://ghost.estudiopatagon.com/rein/classic/)
15:49:41	32621/32621	---M--	200	added ('OK')	image/jpeg	etag:W/%227f6d-16c0bd1c90d%22	http://ghost.estudiopatagon.com/rein/content/images/size/w760h400/2019/07/photo-1530021232320-687d8e3dba54.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/size/w760h400/2019/07/photo-1530021232320-687d8e3dba54.jpg	(from http://ghost.estudiopatagon.com/rein/classic/)
15:49:42	81451/81451	---M--	200	added ('OK')	image/jpeg	etag:W/%2213e2b-16bfd6c8fe5%22	http://ghost.estudiopatagon.com/rein/content/images/size/w700h500/2019/07/benjamin-suter-1589898-unsplash-2.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/size/w700h500/2019/07/benjamin-suter-1589898-unsplash-2.jpg	(from http://ghost.estudiopatagon.com/rein/page/2/)
15:49:43	20626/20626	---MCZ	200	added ('OK')	text/html	etag:W/%225092-wLPTjsBBzlPPi2AsKSpZpRo7Ihw%22	http://ghost.estudiopatagon.com/rein/fullwidth/amp/	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/fullwidth/amp/index.html	(from http://ghost.estudiopatagon.com/rein/fullwidth/)
15:49:49	32488/32488	---M--	200	added ('OK')	image/jpeg	etag:W/%227ee8-16bfd64831d%22	http://ghost.estudiopatagon.com/rein/content/images/2019/07/tony-reid-PGdMhonLLZk-unsplash-1.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/2019/07/tony-reid-PGdMhonLLZk-unsplash-1.jpg	(from http://ghost.estudiopatagon.com/rein/fullwidth/)
15:49:50	96625/96625	---M--	200	added ('OK')	image/jpeg	etag:W/%2217971-16bfd5c61c6%22	http://ghost.estudiopatagon.com/rein/content/images/2019/07/parker-coffman-1698322-unsplash-1.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/2019/07/parker-coffman-1698322-unsplash-1.jpg	(from http://ghost.estudiopatagon.com/rein/classic/)
15:49:50	51122/51122	---M--	200	added ('OK')	image/jpeg	etag:W/%22c7b2-16bfd648226%22	http://ghost.estudiopatagon.com/rein/content/images/2019/07/mika-novo-1283478-unsplash-2.jpg	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/content/images/2019/07/mika-novo-1283478-unsplash-2.jpg	(from http://ghost.estudiopatagon.com/rein/fullwidth/)
15:49:51	1027/1027	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22403-16e0fa1434e%22	http://ghost.estudiopatagon.com/rein/assets/images/right-arrow.svg?v=e1d678e3e0	E:/Omkar/Projects/Creative/Rein/ghost.estudiopatagon.com/rein/assets/images/right-arrowfefa.svg	(from http://ghost.estudiopatagon.com/rein/fullwidth/)
